 Total Nb of available Diagnostics: ndiagt=   301
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   268 |SIuheff |  1 |   269 |UU      M1|m^2/s           |Zonal      Transport of eff ice thickn (centered)
   269 |SIvheff |  1 |   268 |VV      M1|m^2/s           |Meridional Transport of eff ice thickn (centered)
   270 |SIpress |  1 |       |SM      M1|N/m             |SEAICE strength (with upper and lower limit)
   271 |SIzeta  |  1 |       |SM      M1|kg/s            |SEAICE nonlinear bulk viscosity
   272 |SIeta   |  1 |       |SM      M1|kg/s            |SEAICE nonlinear shear viscosity
   273 |SIsig1  |  1 |       |SM      M1|no units        |SEAICE normalized principle stress, component one
   274 |SIsig2  |  1 |       |SM      M1|no units        |SEAICE normalized principle stress, component two
   275 |SIshear |  1 |       |SM      M1|1/s             |SEAICE shear deformation rate
   276 |SIdelta |  1 |       |SM      M1|1/s             |SEAICE Delta deformation rate
   277 |SItensil|  1 |       |SM      M1|N/m             |SEAICE maximal tensile strength
   278 |SIlsrRe |  1 |       |SM      M1|N/m             |SEAICE LSR residual norm
   279 |LaTr1RHO| 50 |       |SMR     MR|kg/m^3          |Pot. density (minus 1000) for layer averaging, ref_z= -1914.15,  37
   280 |LaUH1RHO| 88 |   281 |UU      MX|m.m/s           |Layer Integrated  zonal Transport (UH, m^2/s)
   281 |LaVH1RHO| 88 |   280 |VV      MX|m.m/s           |Layer Integrated merid. Transport (VH, m^2/s)
   282 |LaHw1RHO| 88 |   283 |SU      MX|m               |Layer Thickness at U points (m)
   283 |LaHs1RHO| 88 |   282 |SV      MX|m               |Layer Thickness at V points (m)
   284 |LaPw1RHO| 88 |   285 |SU      MX|1               |Layer Probability at U points [-]
   285 |LaPs1RHO| 88 |   284 |SV      MX|1               |Layer Probability at V points [-]
   286 |LaUa1RHO| 88 |   287 |UU      MX|m/s             |Layer-averaged U velocity (non-weighted) (m/s)
   287 |LaVa1RHO| 88 |   286 |VV      MX|m/s             |Layer-averaged V velocity (non-weighted) (m/s)
   288 |LaHc1RHO| 88 |       |SM      MX|m               |Layer Thickness at tracer points (m)
   289 |LaTs1RHO| 87 |       |SM      MX|m/s             |Layer thickness tendency due to THETA surf. forc.
   290 |LaTh1RHO| 87 |       |SM      MX|m/s             |Layer thickness tendency due to THETA horiz. diff.
   291 |LaTz1RHO| 87 |       |SM      MX|m/s             |Layer thickness tendency due to THETA vert. diff.
   292 |LTha1RHO| 87 |       |SM      MX|m/s             |Layer thickness tendency due to THETA horiz. adv.
   293 |LTza1RHO| 87 |       |SM      MX|m/s             |Layer thickness tendency due to THETA vert. adv.
   294 |LTto1RHO| 87 |       |SM      MX|m/day           |Layer thickness tendency due to all THETA terms.
   295 |LaSs1RHO| 87 |       |SM      MX|m/s             |Layer thickness tendency due to SALT surf. forc.
   296 |LaSh1RHO| 87 |       |SM      MX|m/s             |Layer thickness tendency due to SALT horiz. diff.
   297 |LaSz1RHO| 87 |       |SM      MX|m/s             |Layer thickness tendency due to SALT vert. diff.
   298 |LSha1RHO| 87 |       |SM      MX|m/s             |Layer thickness tendency due to SALT horiz. adv.
   299 |LSza1RHO| 87 |       |SM      MX|m/s             |Layer thickness tendency due to SALT vert. adv.
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   300 |LSto1RHO| 87 |       |SM      MX|m/day           |Layer thickness tendency due to all SALT terms.
   301 |LaPc1RHO| 88 |       |SM      MX|1               |Layer Probability at tracer points [-]
   302 |SHIfwFlx|  1 |       |SM      L1|kg/m^2/s        |Ice shelf fresh water flux (positive upward)
   303 |SHIhtFlx|  1 |       |SM      L1|W/m^2           |Ice shelf heat flux  (positive upward)
   304 |SHI_TauX|  1 |   208 |UU      L1|N/m^2           |Ice shelf bottom stress, zonal  comp., >0 increases uVel
   305 |SHI_TauY|  1 |   207 |VV      L1|N/m^2           |Ice shelf bottom stress, merid. comp., >0 increases vVel
   306 |SHIForcT|  1 |       |SM      L1|W/m^2           |Ice shelf forcing for theta, >0 increases theta
   307 |SHIForcS|  1 |       |SM      L1|g/m^2/s         |Ice shelf forcing for salt, >0 increases salt
   308 |SHIgammT|  1 |       |SM      L1|m/s             |Ice shelf exchange coefficient for theta
   309 |SHIgammS|  1 |       |SM      L1|m/s             |Ice shelf exchange coefficient for salt
   310 |SHI_mass|  1 |       |SM      L1|kg/m^2          |dynamic ice shelf mass for surface load anomaly
   311 |SHIuStar|  1 |       |SM      L1|m/s             |Friction velocity at bottom of ice shelf
   312 |SHICDrag|  1 |       |SM      L1|1               |Shelfice drag coefficient for u* parameterization
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
